,location,info
"Soyapango, Ilopango","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
San Martín,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
"Soyapango, Ilopango","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
San Martín,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
"Soyapango, Ilopango","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
San Martín,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
"Soyapango, Ilopango","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
San Martín,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
"Soyapango, Ilopango","[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
San Martín,"[{'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 51, 'end': 70, 'body': 'Soyapango, Ilopango', 'confidence': 0.9293, 'entities': [], 'suggested': True, 'value': 'Soyapango, Ilopango', 'type': 'value'}, {'id': '3233198566948636', 'name': 'wit$location', 'role': 'location', 'start': 73, 'end': 83, 'body': 'San Martín', 'confidence': 0.9358, 'entities': [], 'suggested': True, 'value': 'San Martín', 'type': 'value'}]"
